document_id,document_title
KB-001,Reset VPN Access
KB-002,Install Office 365
KB-003,Unlock Active Directory Account
KB-004,Configure Email Signature in Outlook
KB-005,Map a Network Drive
KB-006,Enrol Device in Intune MDM
KB-007,Reset MFA Authenticator App
KB-008,Printer Not Found on Network
KB-009,Request Software Installation
KB-010,Recover Deleted Email in Outlook
KB-011,Set Up Out of Office Reply
KB-012,Fix Slow Laptop Performance
KB-013,Connect to Guest WiFi Network
KB-014,Transfer Files to New Laptop
KB-015,Access SharePoint Document Library
KB-016,Reset Windows Hello PIN
KB-017,Enable BitLocker Encryption
KB-018,Clear Browser Cache and Cookies
KB-019,Set Default Browser via Group Policy
KB-020,Fix Broken Microsoft Teams Login
KB-021,Schedule a Teams Meeting
KB-022,Share Screen in Teams Call
KB-023,Create a Teams Channel
KB-024,Add External Guest to Teams
KB-025,Record a Teams Meeting
KB-026,Download Teams Meeting Transcript
KB-027,Fix Teams Audio Not Working
KB-028,Fix Teams Camera Not Detected
KB-029,Set Teams Status to Do Not Disturb
KB-030,Install Teams on Mobile Device
KB-031,Create a SharePoint Site
KB-032,Set SharePoint Site Permissions
KB-033,Restore File from SharePoint Version History
KB-034,Sync SharePoint Library with OneDrive
KB-035,Fix OneDrive Sync Errors
KB-036,Share a OneDrive File Externally
KB-037,Set OneDrive Storage Quota
KB-038,Recover Deleted File from OneDrive Recycle Bin
KB-039,Move Files from OneDrive to SharePoint
KB-040,Disable OneDrive on Unmanaged Device
KB-041,Create a Distribution List in Exchange
KB-042,Add Shared Mailbox in Outlook
KB-043,Grant Mailbox Delegate Access
KB-044,Export Emails to PST File
KB-045,Import PST File into Outlook
KB-046,Fix Outlook Not Syncing with Exchange
KB-047,Configure Outlook Focused Inbox
KB-048,Disable Outlook Read Receipts
KB-049,Create Outlook Email Template
KB-050,Set Up Outlook on Mobile Device
KB-051,Request a New User Account
KB-052,Offboard a Departing Employee
KB-053,Change User Principal Name in Azure AD
KB-054,Add User to Security Group
KB-055,Remove User from Distribution List
KB-056,Assign Microsoft 365 License to User
KB-057,Revoke Microsoft 365 License
KB-058,Reset Azure AD User Password
KB-059,Enable Self-Service Password Reset
KB-060,Configure Password Expiry Policy
KB-061,Set Up Conditional Access Policy
KB-062,Block Legacy Authentication Protocols
KB-063,Enable Azure AD Privileged Identity Management
KB-064,Review Azure AD Sign-In Logs
KB-065,Investigate Suspicious Login Alert
KB-066,Enable Microsoft Defender for Endpoint
KB-067,Run Malware Scan on Endpoint
KB-068,Isolate Compromised Device in Defender
KB-069,Review Defender Security Alerts
KB-070,Submit False Positive to Defender
KB-071,Whitelist Application in Defender
KB-072,Configure Defender Firewall Rules
KB-073,Enable Attack Surface Reduction Rules
KB-074,Deploy Defender via Intune Policy
KB-075,Onboard Server to Defender for Servers
